string_a,string_b,minimum_edit_distance
dwel,indisoluble,9
calamities,estem,8
ersway,unwept,6
curse,skilfuly,8
distrain,manus,8
remorse,testimony,7
theoric,titania,5
isued,prun,4
cauf,ireligious,9
flagons,rough,6
co,unaching,7
overtop,visitation,8
clearnes,shadow,7
lockram,people,7
fiftenth,yeas,7
direction,flighty,8
outworn,sobing,7
morality,triumph,7
excepting,sere,8
interchange,requiring,9
parts,seizeth,6
bargains,blub,7
crownet,varying,6
testy,verities,6
guynes,unbraided,8
counted,font,4
directories,tired,8
mocking,reverent,7
ploughman,substitutes,11
liars,titinius,6
orphans,playfelow,9
greyhound,shel,8
betraying,multitude,9
aspects,lily,7
apropriation,austria,8
galed,traded,3
colect,wrapt,5
kinred,unatural,7
awful,jay,5
pioners,polusion,7
bloted,byzantium,7
bledest,kicky,7
bayone,mista,6
fadings,unerved,7
clif,stroke,6
scotish,semblably,8
lunatic,oftener,7
apearing,flowers,8
reks,wolen,5
entry,metled,5
glare,wolsack,5
ask,erbear,6
pedantical,projection,8
bum,suporters,8
flocks,leaving,7
sip,spectacles,9
dom,fives,5
disanimates,sigh,9
disquantity,findeth,8
pleas,prescribe,7
producing,scholmaster,10
contemned,country,6
givers,hising,5
advance,interior,8
alisander,madman,7
carying,type,6
croaking,unstuf,8
deservers,viewing,8
fenton,parting,5
cheapest,oferings,7
clotharius,familiarly,9
covered,unconfirmed,6
newnes,squeaking,8
eloquence,grafted,8
crabs,unoble,5
heir,southwel,7
crosed,doncaster,7
shields,wagling,7
baiting,dues,7
diaper,reking,6
bared,glimpses,7
coil,purifies,7
bragart,uneasines,8
halter,molten,3
beguiles,charactered,10
indu,sag,4
fingres,opening,7
sothsayer,unacustom,9
franticly,hens,8
caveto,colchos,5
ewe,vapor,5
dependences,spirt,10
knobs,tasting,7
form,inded,5
operant,tediously,9
misprision,mockvater,9
seamy,throes,6
bleats,until,6
also,piecing,7
butons,tardied,7
imogen,thriving,7
loa,rofs,3
barony,particularize,11
shorter,wales,6
servitude,thicker,8
atending,tary,7
mistrusting,sutler,8
blames,sobing,6
blaspheming,knocks,11
spain,wire,5
benefits,quails,6
groan,provider,6
bountiful,protection,8
arives,murain,6
century,proceding,8
edifice,fewest,7
bourn,tinder,6
apish,chicken,6
cure,intrenchant,9
childnes,eastward,8
ti,wrongful,8
bastardizing,seal,10
powerful,unoble,8
altered,prosperity,8
bean,shon,3
conspired,holanders,8
conceal,harping,7
emptines,spartan,7
nedful,vieweth,6
unbater,ungoten,3
blowing,enoble,6
depest,vernon,5
kent,thorny,5
chitopher,contract,7
colors,honi,5
fiends,seking,6
parthians,threpence,8
consistory,salisbury,6
rudenes,saluted,6
empery,noded,5
dreary,grudges,6
first,integer,7
altars,ouches,5
continuing,limit,8
heated,swelter,4
ap,vermin,6
guinea,jumpeth,5
farthings,frozen,6
ought,unatainted,9
constrain,his,8
alb,preparedly,8
engenders,imaginings,7
exits,government,9
afability,disedg,8
exsuflicate,steaded,9
abides,pardonez,6
bewep,road,5
pump,third,5
obeys,rather,6
conjures,patrimony,9
folk,masy,4
corner,gore,3
pases,ruining,7
coal,core,2
extreme,fear,6
bores,claudio,7
alayed,bedazled,5
acrue,rowel,5
rustling,shelves,7
anglais,gentlest,6
lineal,warkworth,9
lackbeard,temp,8
kam,trojan,5
canstick,uplifted,8
shive,sureys,5
bargains,itches,7
afected,mumbling,8
after,unexperient,9
aumerle,fightest,8
christendoms,trebled,9
drawing,lifted,7
conclude,gnat,7
datchet,efus,7
raineth,wor,7
eforts,mopsa,5
inprimis,lapse,7
enameled,hearty,7
forth,garison,6
beams,viol,5
compliments,permafoy,9
imortaly,servitors,8
overta,vilage,6
agone,leonati,5
acent,easing,4
efectual,sated,7
straiter,studies,4
dancing,revenues,8
compliments,shok,11
balanc,sciences,6
bodg,miler,5
eclipses,steadfast,8
puritan,vicar,5
caracks,indebted,8
distinction,puking,9
fearfuly,witneses,8
corupting,meteyard,9
ends,wiling,6
comand,fasted,5
gaolers,trusty,7
courteously,smilest,9
conceal,dankish,6
critics,unasail,7
gibe,woly,4
birdlime,bristow,6
mounseur,shen,7
burnet,flateries,7
mothers,procreants,7
atempted,cradle,7
proportion,trough,8
colourable,sword,8
churlish,tearshet,7
expeditious,storehouse,9
dankish,mamock,6
daintiest,plume,8
carions,vitruvio,7
rut,wond,4
compliment,entombed,9
drab,managed,6
email,rite,5
drunkenly,hok,8
identification,stanzo,11
enginer,profesors,8
epilepsy,quinapalus,8
july,nations,7
brech,vales,5
apolo,wears,5
duncan,fopish,6
found,senator,7
fortun,loyalties,7
capricio,spils,6
bach,requirements,12
behav,sixpeny,7
conceiving,plagu,10
fop,tempted,6
alter,signum,6
phaethon,unreconciled,10
counterpois,mischance,11
pindarus,spot,8
ditches,masquing,8
scorched,trance,6
advertising,miracles,10
gests,imogen,6
etna,thirsting,7
halowmas,vizarded,8
glading,tenour,7
always,forsaken,7
peas,profoundest,9
sufic,wednesday,9
deformed,vacancy,8
outdares,trouble,7
datchet,notify,6
perceiv,sucesantly,9
erhear,tire,5
might,vour,5
camping,instrumental,11
pharsalia,preceptial,7
thing,to,4
botchy,moulds,5
unlock,whifler,7
abeting,ergrowth,8
positively,rear,9
blades,francisca,7
incorporate,taters,10
glean,lamely,5
ensigns,holiday,6
outward,trinkets,8
mermaids,shifted,7
purposing,soak,8
has,improper,8
groweth,perigouna,8
hungerly,unweded,5
aligator,spiting,7
flowed,frugal,5
roderigo,swum,8
owy,undoubted,8
dire,idea,3
site,unfitnes,5
misinterpret,posterns,8
curer,regions,7
jets,throtle,6
adjoining,hulo,8
alt,po,3
comodity,woeful,7
falter,ravenous,7
compases,vigil,8
insert,mangling,7
gueses,undertakes,7
gasping,waver,6
bolden,pet,5
brawl,lorn,5
smile,swetnes,5
camlet,sexes,5
ilyrian,umbrage,6
molestation,pomegranate,8
ganymede,pranks,7
disposes,heals,7
conected,lamenting,7
paphlagonia,unconstrained,12
braved,lacies,5
ap,lengthens,9
graces,waiter,5
builded,mised,4
bold,moles,3
fo,tempteth,8
discredits,richard,8
catch,sigeia,6
enschedul,sining,8
erparted,noting,8
albion,germans,6
diamonds,linger,7
trickling,unswayed,9
claud,pockets,6
astronomical,fishers,12
burgundy,unsecret,8
key,tasel,4
mazes,unrespective,10
quilt,respice,6
anatomize,pheasant,9
fronted,shriek,6
peloponesus,violence,9
bethink,salvation,8
diet,jely,4
surpris,unsphere,7
prun,trifled,6
mises,pasty,4
asketh,hamering,7
ners,takes,4
opose,wond,4
read,vulgar,5
hawthorn,honeying,7
ariachne,superstition,10
arithmetic,brag,9
rawly,work,5
barbarian,punishments,10
nominate,precept,7
joly,redreses,8
merchandise,proportionable,11
runing,vaumond,5
proclaimed,ston,9
bishops,roasted,7
coinage,straitly,8
ham,neb,3
boarded,unsteadfast,10
evade,perspective,9
plea,profanation,9
bridgenorth,redeliver,8
dearths,infring,6
america,mos,6
ebrew,mer,4
sacrificers,thromuldo,10
no,sources,6
aught,dye,5
revolve,shiver,6
mortifying,sternage,9
auditor,mercurial,8
mistempered,restrained,7
curents,pleads,5
lutheran,seized,7
agres,railing,6
contenteth,falows,10
bewhored,ratling,8
complot,napes,6
oposeles,peasants,6
mana,sickle,6
bred,expresure,7
gay,switzers,8
alternate,jacet,7
mastif,prompt,6
asigned,perfections,10
coesar,sheath,5
frames,hudling,7
prophesier,sarum,10
marshalsea,rek,8
labio,norways,7
et,specialty,7
bringeth,overmounting,10
bulet,scrowl,6
instead,ticed,5
adieus,dulcet,6
especialy,scout,7
import,pasado,6
leases,surly,6
important,whew,9
haughty,patch,5
lecture,quicker,6
conjure,haec,7
herod,verb,3
pickaxe,rogero,7
chisel,obligation,9
cods,restoration,10
finds,guiltian,7
reclusive,undeded,9
cneius,perverse,7
blent,hangmen,6
america,environ,7
artles,back,6
heavenly,hilding,6
emulator,herod,7
gregory,traitorly,5
cuf,overgrown,9
enactures,tofore,7
apeared,cavaleiro,7
charmingly,fidius,9
baters,fitnes,4
fortuna,period,6
grieve,inquisitive,8
countermines,thatch,11
pardoner,retain,7
board,squezes,7
singe,waxen,5
gosiping,herds,8
naughtily,upmost,8
comptrolers,unanswer,9
confines,teat,8
prompter,smelt,7
shel,swung,4
choked,punishment,9
mastic,mouths,4
consulship,staf,9
fends,rushing,7
thwarting,washing,4
dealt,deborah,5
acquir,aerial,5
concernancy,dreading,9
visibly,wonted,7
implor,nous,6
drink,fastened,7
briefer,dependent,7
girded,mares,4
movers,thumbs,5
complying,devoutly,8
clarence,ebs,7
celia,meses,4
howling,rigorous,8
heartbreak,simulation,10
comedian,felowships,8
cobwebs,crusty,6
mamet,unbegot,5
adversaries,stockings,10
bridge,fler,6
menelaus,mocks,6
dues,sc,4
pomfret,sumary,5
inform,yearly,6
awl,stand,4
clearest,emptied,7
equal,gentlemanlike,10
sisterly,wep,7
precisian,witnesing,7
legion,strain,5
denies,grumble,7
refts,unweded,6
beastly,psalms,6
embraced,unhang,7
car,pody,4
britle,unanel,6
practises,rhymers,7
gleaning,unimproved,10
debts,houses,5
comedy,quens,5
bils,venison,6
obloquy,trimed,7
ghastly,muscovites,9
mediteraneum,sinews,9
necesity,rowlands,8
pilgrim,trinculos,8
ocupations,scamble,8
daring,dated,4
depravation,money,11
desire,theft,6
qualified,retort,9
gnats,trance,5
griev,impugns,7
heirs,lawlesly,7
dankish,mourning,7
pails,vilany,5
embosed,unrof,6
