disk_reference,duration,start,channel,title,description,scrid,pcrid
5081010306453614207,2700,2007-06-28 09:15:00 +0100,BBC One,Don't Get Done Get Dom,"Wedding: Dom is in the mood for love. But if you've ever thought about having a fairytale wedding abroad, stick around as Dom is going head to head with a well-known company. [S]",crid://fp.bbc.co.uk/KCITT0,crid://fp.bbc.co.uk/35W477
5081010306457808082,900,2007-06-28 09:15:00 +0100,BBC Two,Toddworld,"CBeebies. It's OK to Talk With Your Hands: Todd and Pickle are on a treasure hunt when they meet a deaf boy called Will, and his hearing dog. They teach the boys how to talk with their hands. [S]",crid://fp.bbc.co.uk/KCIUI0,crid://fp.bbc.co.uk/SIHOX
5081014171928374445,1200,2007-06-28 09:30:00 +0100,BBC Two,Big Cook Little Cook,CBeebies. Humpty Dumpty: Ben and Small are doing a jigsaw but they can't finish the puzzle as some of the jigsaw pieces are missing. Humpty Dumpty comes into the cafe. [S],crid://fp.bbc.co.uk/KCICDM,crid://fp.bbc.co.uk/4CBNSV
5081019325889129678,600,2007-06-28 09:50:00 +0100,BBC Two,Charlie and Lola,CBeebies. I Just Love My Red Shiny Shoes. Lola is not happy about getting new shoes - not even a little bit! [S],crid://fp.bbc.co.uk/KCILVG,crid://fp.bbc.co.uk/4CDJTL
5081021902865313415,3600,2007-06-28 10:00:00 +0100,BBC One,Homes Under The Hammer,"Lucy Alexander and Martin Roberts visit a unique water tower in Plymouth, a house in London where things are not quite as they seem and a mid terrace in Stoke. [S] Then BBC News and Weather.",crid://fp.bbc.co.uk/KCI9R6,crid://fp.bbc.co.uk/35W3SR
5081021902869507240,1800,2007-06-28 10:00:00 +0100,BBC Two,Teletubbies,"CBeebies. Naughty Bee: All the Teletubbies have their favourite things, but wheres Po's scooter? [S]",crid://fp.bbc.co.uk/KCI8KI,crid://fp.bbc.co.uk/4CB9U1
5081021902881761865,3600,2007-06-28 10:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081037364747578998,2700,2007-06-28 11:00:00 +0100,BBC One,To Buy or Not to Buy,Potential house buyers test drive the home of their choice before putting in an offer. Presenters Simon Rimmer and Sarah Walker help a young family in Stockton move up the property ladder. [S],crid://fp.bbc.co.uk/KCI7BC,crid://fp.bbc.co.uk/53TY6N
5081037364764027468,3600,2007-06-28 11:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081045095692905627,1800,2007-06-28 11:30:00 +0100,BBC Two,The Daily Politics,"Andrew Neil and Jenny Scott discuss the cabinet reshuffle with friend of Gordon Brown, Geoffrey Robinson and Simon Woodroffe of Dragons' Den. [S]",crid://fp.bbc.co.uk/KCI58S,""
5081048961159278205,1800,2007-06-28 11:45:00 +0100,BBC One,Car Booty,"Keen gardener, Lisa Yusuf, is a self-confessed hoarder who is addicted to boot sales. But following her retirement, Lisa's realised she can't live with all her clutter. [S] Then BBC News and Weather.",crid://fp.bbc.co.uk/KCICGC,crid://fp.bbc.co.uk/35W45D
5081052826634038462,12300,2007-06-28 12:00:00 +0100,BBC Two,Wimbledon 2007,Sue Barker presents day four of the 2007 Championships as Tim Henman's interrupted second round match against Spain's Feliciano Lopez continues. [S],crid://fp.bbc.co.uk/KCID5L,crid://fp.bbc.co.uk/KCJAI4#01
5081052826646293067,3600,2007-06-28 12:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081056692100411009,2700,2007-06-28 12:15:00 +0100,BBC One,Cash in the Attic,"Barbara Graffe is having problems with her dog Foxy, who is in dire need of some dog training. This doesn't come cheap, so Barbara has called in the Cash in the Attic team to help. [S]",crid://fp.bbc.co.uk/KCI4I9,crid://fp.bbc.co.uk/35W43I
5081060557575174442,10500,2007-06-28 12:30:00 +0100,BBC Two,Wimbledon 2007,Sue Barker presents day four of the 2007 Championships as Tim Henman's interrupted second round match against Spain's Feliciano Lopez continues. [S],crid://fp.bbc.co.uk/KCID5L,crid://fp.bbc.co.uk/KCJAI4#01
5081068288512110196,1800,2007-06-28 13:00:00 +0100,BBC One,BBC News,"National and international news from the BBC, followed by Weather. [S]",crid://fp.bbc.co.uk/KCI4LM,""
5081068288528558672,1800,2007-06-28 13:00:00 +0100,BBC News 24,BBC One O'Clock News,National and international news from the BBC.,"",""
5081076019453242997,600,2007-06-28 13:30:00 +0100,BBC One,BBC London News,The latest stories from the BBC London newsroom. [S],crid://fp.bbc.co.uk/KCI7Z4,""
5081076019469691476,1800,2007-06-28 13:30:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081078596433620619,15600,2007-06-28 13:40:00 +0100,BBC One,Wimbledon 2007,"Sue Barker introduces live action from the women's second-round matches on day four at Wimbledon. Commentary team includes: John McEnroe, Greg Rusedski, Pat Cash and Tracy Austin. [S]",crid://fp.bbc.co.uk/KCID5X,""
5081083750410824275,3600,2007-06-28 14:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081099212293089861,3600,2007-06-28 15:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081105654731779253,900,2007-06-28 15:25:00 +0100,BBC Two,ChuckleVision,"CBBC. Don't Lose Your Rag: Paul enters an unsuspecting Barry into a hidden camera TV show. [AD,S] Followed by Bernard.",crid://fp.bbc.co.uk/KCI8FX,crid://fp.bbc.co.uk/4CBQPJ
5081109520202345647,1800,2007-06-28 15:40:00 +0100,BBC Two,Arthur,CBBC. Arthur's Treasure Hunt/The Return of the King: Buster digs up an ancient arrowhead; Arthur and co pit their wits against Mr Pryce-Jones' class at the Medieval Fayre. [S],crid://fp.bbc.co.uk/KCI8FW,crid://fp.bbc.co.uk/4CBPLB
5081114674175355458,3600,2007-06-28 16:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081117251143478429,1500,2007-06-28 16:10:00 +0100,BBC Two,Stupid,"CBBC. We've Got a Boggart: King Stupid and Goober discover they have a Boggart in the castle, which plays loads of practical jokes on them. [S]",crid://fp.bbc.co.uk/KCII6Q,crid://fp.bbc.co.uk/4CDJIC
5081123693594422423,1500,2007-06-28 16:35:00 +0100,BBC Two,Dinosapien,CBBC. Electricity: Eno discovers the destructive power of lightning and he sets out to harness it. [S],crid://fp.bbc.co.uk/KCJA0W,crid://fp.bbc.co.uk/SIHIT
5081130136045366448,1500,2007-06-28 17:00:00 +0100,BBC Two,Blue Peter,"CBBC. Magazine programme with reports from across the UK and the world, celebrity guests, music, sport, food and a whole lot more. With Gethin Jones, Konnie Huq and Zoe Salmon. [S]",crid://fp.bbc.co.uk/KCJA48,crid://fp.bbc.co.uk/4CDMVF
5081136578496310537,600,2007-06-28 17:25:00 +0100,BBC Two,Newsround,CBBC. Daily news magazine keeping you up to date on the latest stories and events happening at home and abroad.,crid://fp.bbc.co.uk/KCI84B,""
5081139155476688050,900,2007-06-28 17:35:00 +0100,BBC Two,Shaun the Sheep,"CBBC. Mower Mouth/Take Away: A pesky goat is tethered in the sheep's field, and threatens to eat all their grass. Shaun and his pals go on a mission to the local pizzeria. [S]",crid://fp.bbc.co.uk/KCJ5M0,crid://fp.bbc.co.uk/4CBOXL
5081145597923438216,1800,2007-06-28 18:00:00 +0100,BBC One,BBC News,"National and international news from the BBC, followed by Weather. [S]",crid://fp.bbc.co.uk/KCI4LN,""
5081145597939886673,1800,2007-06-28 18:00:00 +0100,BBC News 24,BBC Six O'Clock News,National and international news from the BBC.,"",""
5081153328864571000,1800,2007-06-28 18:30:00 +0100,BBC One,BBC London News,The latest stories from the BBC London newsroom. [S] Followed by the national headlines and Weather.,crid://fp.bbc.co.uk/KCI7Z5,""
5081238369233480297,1800,2007-06-29 00:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day - the latest national and international stories as they break.,"",""
5081240946201603280,3300,2007-06-29 00:10:00 +0100,BBC Two,Rome,"With an increasingly unstable Vorenus running the Aventine quarter for Mark Antony, Pullo must fight to rein in his old friend's aggressive stance. Strong language. [AD,S]",crid://fp.bbc.co.uk/KCJ9O4,crid://fp.bbc.co.uk/35UEY6
5081243523177787008,300,2007-06-29 00:20:00 +0100,BBC One,Weather View,Detailed weather forecast.,crid://fp.bbc.co.uk/KCI7YZ,""
5081244811667975814,1800,2007-06-29 00:25:00 +0100,BBC One,Panorama,"Trust Me I'm Gordon.... Not Tony: Reporter John Ware investigates Gordon Brown's relationship to the truth and his involvement in past New Labour spin. [S,SL]",crid://fp.bbc.co.uk/KCI7YU,crid://fp.bbc.co.uk/73DNG
5081244811680230054,3300,2007-06-29 00:25:00 +0100,BBC Three,Dog Borstal,"4/4. Some of the worst dogs in Britain come face to face with three tough trainers. Duplo, Abbie, Amber and Rio must spend a week in Dog Borstal, but can they be reformed? Strong language. [S]","",crid://fp.bbc.co.uk/4KU3M5
5081246100174613117,1800,2007-06-29 00:30:00 +0100,BBC News 24,World Business Report,"From London and New York, World Business Report brings not just the headlines but the explanation behind the headlines and an examination of the trends in technology and the world of business.","",""
5081252542609108603,3000,2007-06-29 00:55:00 +0100,BBC One,Jonathan Meades Abroad Again,"Heaven: Folkwoven in England: Jonathan Meades tells the story of Letchworth, the first British garden city. It all started so charmingly with dew-bathers, vegetarian mystics and sandal-makers. [S,SL]",crid://fp.bbc.co.uk/KCJ9FS,crid://fp.bbc.co.uk/56URV0
5081252543439318686,3600,2007-06-29 00:55:00 +0100,BBC Four,Cooking in the Danger Zone,"4/5. Superpower Food: Stefan works at the Kung Fu fast food joint in China and samples the food in a penis restaurant, and eats rat with the Untouchables in India. Some upsetting scenes. [S]",crid://fp.bbc.co.uk/KCJ47G,crid://fp.bbc.co.uk/73S9J
5081253831115745903,1800,2007-06-29 01:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081255119593680024,3300,2007-06-29 01:05:00 +0100,BBC Two,BBC News 24,"BBC TWO joins the BBC's rolling news channel, with bulletins on the hour and the headlines every 15 minutes.",crid://fp.bbc.co.uk/KCI10Q,""
5081258985072306847,3600,2007-06-29 01:20:00 +0100,BBC Three,Lucy: Teen Transexual,"Lucy is 17, and is the youngest transsexual in Britain. She attempts to document the psychological and emotional journey to rid herself of the male body she was born with. Adult themes. [S]","",crid://fp.bbc.co.uk/35W48A
5081261562056878693,1800,2007-06-29 01:30:00 +0100,BBC News 24,World News Tonight,"The latest news from America, as reported by the ABC television network's flagship evening news programme.","",""
5081265427510996617,3600,2007-06-29 01:45:00 +0100,BBC One,Peter and Dan Show - 20th Century...,"...Battlefields. 1942 Midway: Peter and Dan Snow describe the battles that changed the 20th century. The Snows fly to the middle of the Pacific Ocean to revisit the battle of Midway. [AD,S,SL]",crid://fp.bbc.co.uk/KCJ9T4,crid://fp.bbc.co.uk/4KU3G7
5081268005321584278,3000,2007-06-29 01:55:00 +0100,BBC Four,Monsoon Railway,1/2. Each year Indian Railways struggles to operate during the four-month Monsoon season. This programme looks at the difficulties faced by the workers and tells the history of the railway. [S],crid://fp.bbc.co.uk/KCIHCT,crid://fp.bbc.co.uk/35W1Y2
5081269292985756881,3600,2007-06-29 02:00:00 +0100,BBC Two,L8R,"A compilation of episodes 1-8 of the RTS Award-winning interactive teen drama L8R, together with brief documentary inserts of young people talking about their response to the characters. [S]","",crid://fp.bbc.co.uk/1LZ93W
5081269292998011522,1800,2007-06-29 02:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081274446954572448,1800,2007-06-29 02:20:00 +0100,BBC Three,Two Pints of Lager and...,"...a Packet of Crisps. 5/8. Purgatory: Gaz tries to get over his guilt by doing a special thing for Donna. Janet holds a party for Louise's graduation. Adult humour. [AD,S]",crid://fp.bbc.co.uk/KCIUNL,crid://fp.bbc.co.uk/1RSHPH
5081277023939144300,1800,2007-06-29 02:30:00 +0100,BBC News 24,The Record,Highlights of the day in Parliament.,"",""
5081280889393262220,1800,2007-06-29 02:45:00 +0100,BBC One,Trawlermen,"Documentary series about a group of trawler fishermen in Peterhead, Scotland. Skipper Sandy Watt's young apprentice John Duncan Campbell gets the chance he's been waiting for. [S,SL]",crid://fp.bbc.co.uk/KCIWM8,crid://fp.bbc.co.uk/53TYHR
5081280890223472282,3600,2007-06-29 02:45:00 +0100,BBC Four,Children's TV on Trial,"1/5. 1950s: Looking at the origins of Children's Television at the BBC in the early 50s and how the coming of ITV changed children's programmes forever. [S,SL]","",crid://fp.bbc.co.uk/4AYPRU
5081282177895705250,1800,2007-06-29 02:50:00 +0100,BBC Three,Two Pints of Lager and...,"...a Packet of Crisps. 6/8. Mate Date: Gaz goes on a quest to split Jonny and Kate. Jonny gets an ultimatum and Janet gets a new boss from hell. Adult humour. [AD,S]",crid://fp.bbc.co.uk/KCIUNL,crid://fp.bbc.co.uk/1RSHPI
5081284754868022441,1800,2007-06-29 03:00:00 +0100,BBC Two,Scene: Offside,"Shoheb Jaffrey is 16 years old, all his life he has wanted to be a footballer. So when a top Premier League club offers him an apprenticeship, it looks like his dream is about to come true. [S]","",crid://fp.bbc.co.uk/1U59Q9
5081284754880277095,1800,2007-06-29 03:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081288620334395001,9900,2007-06-29 03:15:00 +0100,BBC One,BBC News 24,"BBC ONE joins the BBC's rolling news channel for a night of news, with bulletins on the hour and the headlines every 15 minutes.",crid://fp.bbc.co.uk/KCI7YY,""
5081289908836838055,3600,2007-06-29 03:20:00 +0100,BBC Three,Anthea Turner: Perfect Housewife,"4/8. Anthea Turner helps two hopeless housewives learn housekeeping at her own luxury mansion. Graduate Clare and stay-at-home mum Connie are Anthea's students this time. [S,SL]","",crid://fp.bbc.co.uk/35VAHB
5081292485809155221,1800,2007-06-29 03:30:00 +0100,BBC Two,Scene: Oddsquad,"A comedy drama set in Hull telling the story of Zach, Ellie and Joe, three 16 year olds who are all a little bit on the outside, struggling with problems in their own lives. [S]","",crid://fp.bbc.co.uk/4CBNAO
5081292485821409901,1800,2007-06-29 03:30:00 +0100,BBC News 24,World Business Report,"From London and New York, World Business Report brings not just the headlines but the explanation behind the headlines and an examination of the trends in technology and the world of business.","",""
5081300216750288046,3600,2007-06-29 04:00:00 +0100,BBC Two,Greater Love Hath No Man,An exploration of the impact of the Great Plague on one small village in Derbyshire. The plague was transported to Eyam from London in 1665 and claimed its first victim soon after. [S],"",crid://fp.bbc.co.uk/59RJC9
5081300216762542712,1800,2007-06-29 04:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081307947703675506,1800,2007-06-29 04:30:00 +0100,BBC News 24,HARDtalk Extra,"Eighties' music legend, Marc Almond, talks to Gavin Esler about the motorcycle crash two year ago that almost claimed his life, and his ability to sing.",crid://fp.bbc.co.uk/KCJ890,""
5081315678632553669,3600,2007-06-29 05:00:00 +0100,BBC Two,Secular Believers,"Beliefs, and believers, come in many shapes and sizes, and not all of them can be described as religious. This programme provides an introduction to a range of non-religious people. [S]","",crid://fp.bbc.co.uk/54BVCG
5081315678644808311,1800,2007-06-29 05:00:00 +0100,BBC News 24,The World Today,The latest international news.,"",""
5081323409585941098,1800,2007-06-29 05:30:00 +0100,BBC News 24,World Business Report,"The latest business news from around the world with live reports from Singapore, Frankfurt and London and the news of what happened overnight in New York.","",""
5081331140510625246,11700,2007-06-29 06:00:00 +0100,BBC One,Breakfast,"Start your day with all the latest news, sport, business and weather from the BBC's Breakfast team. Includes regional news at 25 and 55 minutes past each hour. [S]",crid://fp.bbc.co.uk/KCI7Z3,""
5081331140514819400,1200,2007-06-29 06:00:00 +0100,BBC Two,Fimbles,"CBeebies. Invitation: Fimbo finds out all about invitations and invites everyone to join him in the Purple Meadow. But how can he make sure everyone gets the invitation? [AD,S]",crid://fp.bbc.co.uk/KCI84I,crid://fp.bbc.co.uk/TFILE
5081331140527073919,9000,2007-06-29 06:00:00 +0100,BBC News 24,Breakfast,"Start your day with all the latest news, sport, business and weather from the BBC's Breakfast team.","",""
5081336294475574598,900,2007-06-29 06:20:00 +0100,BBC Two,Story Makers,"CBeebies. Matching: When midnight strikes in the library, some very special people come out to make stories. Something about Milton's shoes is not quite right. [AD,S]",crid://fp.bbc.co.uk/KCI8JT,crid://fp.bbc.co.uk/4CBCJ6
5081340159946141010,1500,2007-06-29 06:35:00 +0100,BBC Two,Balamory,"CBeebies. Nature Symphony: PC Plum has planned to take the children on a nature walk, but it's raining. Will he organise something indoors that will make up for the children's disappointment? [AD,S]",crid://fp.bbc.co.uk/KCI84G,crid://fp.bbc.co.uk/56FO0Z
5081346602397084992,900,2007-06-29 07:00:00 +0100,BBC Two,Arthur,"CBBC. Buster's Amish Mismatch: During a field trip to Amish country, Buster becomes enamoured with the simple lifestyle and vows to forgo all modern conveniences back home. [S]",crid://fp.bbc.co.uk/KCI8FW,crid://fp.bbc.co.uk/4BAJUZ
5081350467867651365,600,2007-06-29 07:15:00 +0100,BBC Two,ChuckleVision,CBBC. Grande Fromage: Paul and Barry go to work for the biggest cheese in dairy products. [S],crid://fp.bbc.co.uk/KCI8FX,crid://fp.bbc.co.uk/4CB93N
5081353044848028972,300,2007-06-29 07:25:00 +0100,BBC Two,Newsround,CBBC. Daily news magazine keeping you up to date on the latest stories and events happening at home and abroad. [S],crid://fp.bbc.co.uk/KCI84B,""
5081354333338217766,1800,2007-06-29 07:30:00 +0100,BBC Two,Clutter Nutters,CBBC. Wolverhampton mates and fashion lovers Olivia and Ellie face tough decisions on what fabulous clothes to trash. Nigel Clarke and Hannah Sandling compere the competition. [S],crid://fp.bbc.co.uk/KCJ2G4,crid://fp.bbc.co.uk/4CDM2L
5081362064279350574,900,2007-06-29 08:00:00 +0100,BBC Two,Tracy Beaker,"CBBC. Family Tree: A family tree project gets everyone thinking about their roots on the day Louise is to meet a possible foster family. [AD,S]",crid://fp.bbc.co.uk/KCIDYA,crid://fp.bbc.co.uk/4CBDY4
5081365929749916975,900,2007-06-29 08:15:00 +0100,BBC Two,Krypto the Superdog,"CBBC. Now You See Him: When Streaky accidentally gets the power of invisibility, it wreaks havoc on his life. [S]",crid://fp.bbc.co.uk/KCI14L,crid://fp.bbc.co.uk/SIGM7
5081369795220483395,300,2007-06-29 08:30:00 +0100,BBC Two,Pingu,CBeebies. Pingu and the Seagull: Pingu is plagued by a mischievous seagull that becomes a constant irritation. Nevertheless he helps it to get rid of a crab which has attached itself to its beak.,crid://fp.bbc.co.uk/KCI9RO,crid://fp.bbc.co.uk/4C98EE
5081369795232737905,1800,2007-06-29 08:30:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081371083710672208,1500,2007-06-29 08:35:00 +0100,BBC Two,Jakers!,CBBC. The Adventures of Piggley Winks. Salmon of Knowledge: Piggley realises the only way to do well at school is to study. [S] Followed by CBeebies Birthdays.,crid://fp.bbc.co.uk/KCIFS5,crid://fp.bbc.co.uk/4CBRSO
5081377526161616190,900,2007-06-29 09:00:00 +0100,BBC Two,Boogie Beebies,CBeebies. Orchestra: Pete and the Boogie Bunch come up with some musical moves when they join the Royal Academy of Music Junior Orchestra. [S],crid://fp.bbc.co.uk/KCIHVM,crid://fp.bbc.co.uk/4CDKDI
5081377526173870713,3600,2007-06-29 09:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081381391627988440,2700,2007-06-29 09:15:00 +0100,BBC One,Don't Get Done Get Dom,Dom takes on your battles with the big guns in David and Goliath style. Hear how a banking giant has dealt with a loyal customer. Also there is a bedroom drama in Kent. [S],crid://fp.bbc.co.uk/KCITT0,crid://fp.bbc.co.uk/35W478
5081381391632182569,900,2007-06-29 09:15:00 +0100,BBC Two,Toddworld,"CBeebies. Water U Thinking: When Sophie's pet fish Banana and his friend Finnegan become ill, Todd and Sophie trace the trouble to the polluted pond. [S]",crid://fp.bbc.co.uk/KCIUI0,crid://fp.bbc.co.uk/SIHOY
5081385257102748977,1200,2007-06-29 09:30:00 +0100,BBC Two,Big Cook Little Cook,"CBeebies. Magician: Ben and Small are looking for something to wear to a fancy dress party. They can't find anything, but then a customer comes into the cafe. [S]",crid://fp.bbc.co.uk/KCICDM,crid://fp.bbc.co.uk/4CBNSW
5081390411063504201,600,2007-06-29 09:50:00 +0100,BBC Two,Charlie and Lola,CBeebies. I Really Wonder What Plant I'm Growing: Lola is extremely excited about a seed she plants. [S],crid://fp.bbc.co.uk/KCILVG,crid://fp.bbc.co.uk/4CDJTM
5081392988039687670,3600,2007-06-29 10:00:00 +0100,BBC One,Homes Under the Hammer,"Lucy Alexander and Martin Roberts visit a sea front house in Devon, a traditional Kent barn and stables and an awkward three-bedroom house in Staffordshire. [S] Then BBC News and Weather.",crid://fp.bbc.co.uk/KCI9R6,crid://fp.bbc.co.uk/35W3SN
5081392988043881776,1800,2007-06-29 10:00:00 +0100,BBC Two,Teletubbies,CBeebies. Guessing Game: The Teletubbies watch some children have fun playing a guessing game. A book appears in Teletubbyland and Laa-Laa loves to count the rabbits. [S],crid://fp.bbc.co.uk/KCI8KI,crid://fp.bbc.co.uk/4CB9U8
5081392988056136294,3600,2007-06-29 10:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081400718985014568,3600,2007-06-29 10:30:00 +0100,BBC Two,Yesterday at Wimbledon,"Highlights from yesterday's play at Wimbledon, featuring action from the women's second round. Presented by John Inverdale. [S]",crid://fp.bbc.co.uk/KCID86,crid://fp.bbc.co.uk/4KS8Q8
5081408449921956479,1800,2007-06-29 11:00:00 +0100,BBC One,The June Flood,A BBC News special on the recent heavy rainfall resulting in floods around the country. [S],"",""
5081408449938401921,3600,2007-06-29 11:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081416180863089724,2700,2007-06-29 11:30:00 +0100,BBC One,BBC News Report,A BBC News report on the car bomb found in central London. [S],"",""
5081416180867280179,1800,2007-06-29 11:30:00 +0100,BBC Two,The Daily Politics,"Andrew Neil and Jenny Scott present the political stories of the day, with live coverage from the House of Commons. [S]",crid://fp.bbc.co.uk/KCI58S,""
5081423911804222533,3600,2007-06-29 12:00:00 +0100,BBC One,Cash in the Attic,Antiques series presented by Lorne Spicer. Shirley Zeffman searches through her home for precious pieces to take to auction so she can buy a plasma TV. [S],crid://fp.bbc.co.uk/KCI4I9,crid://fp.bbc.co.uk/35W1SK
5081423911808412994,12300,2007-06-29 12:00:00 +0100,BBC Two,Wimbledon 2007,"Sue Barker is at the All England Club for day five of the 2007 Championships, where the action is hotting up as we enter the third round stage in both the men's and women's singles. [S]",crid://fp.bbc.co.uk/KCID5L,crid://fp.bbc.co.uk/KCJAI5#01
5081423911820667507,3600,2007-06-29 12:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5081427777274785247,2700,2007-06-29 12:15:00 +0100,BBC One,Cash in the Attic,Retired friends Lesley and Angela sell their antiques and collectables to fund the trip of a lifetime to the Peruvian jungle and pay for a course in survival at the Eden project. [S],crid://fp.bbc.co.uk/KCI4I9,crid://fp.bbc.co.uk/35W43K
5081439373686484460,1800,2007-06-29 13:00:00 +0100,BBC One,BBC News,"National and international news from the BBC, followed by Weather. [S]",crid://fp.bbc.co.uk/KCI4LM,""
